target,target_column,model,fold,MAE,RMSE,MAPE,R2,MeanBias,MedianAE
Scheduled demand pressure,y_scheduled_demand_pressure,LSTM 28-step (S2),4,0.2033758089545504,0.2546574724458328,24.235470765070477,-0.20880619005341683,0.10456811479885943,0.1708372263347402
Scheduled demand pressure,y_scheduled_demand_pressure,LSTM 28-step (S2),5,0.2044902369160764,0.25817200397269835,18.38632126961179,0.07343531078372256,-0.09313789889331582,0.1633041676074739
Open-order pressure,y_open_order_pressure,Random forest (S2),1,0.18552886188518983,0.23510384700035503,19.7644462422243,0.2209606466638141,0.03135222660761476,0.16141389283732122
Open-order pressure,y_open_order_pressure,Random forest (S2),2,0.21074458259617945,0.26829290699610253,20.4406345173338,0.12323356147318909,-0.01360174112703637,0.17276930275713176
Open-order pressure,y_open_order_pressure,Random forest (S2),3,0.1775679250357616,0.22722777217150603,17.861998272811405,0.18882924232141685,0.03216022113647927,0.1661730559117764
Open-order pressure,y_open_order_pressure,Random forest (S2),4,0.2151795228006409,0.25692246641991806,27.11983290908458,-0.20581981986982623,0.16362979806160746,0.2057155346704772
Open-order pressure,y_open_order_pressure,Random forest (S2),5,0.1824628050213886,0.21241168534660088,19.627487127508346,0.34998221487032566,0.035776229525632856,0.1714737156760378
Open-order pressure,y_open_order_pressure,XGBoost (S2),1,0.1680757006232352,0.21826183296499513,16.938521355036208,0.32857807041301335,0.02142557940113192,0.13583475683091806
Open-order pressure,y_open_order_pressure,XGBoost (S2),2,0.22693164441879032,0.28519529107948305,21.78479942285683,0.009281584010764288,-0.01710285016777482,0.17805117215865707
Open-order pressure,y_open_order_pressure,XGBoost (S2),3,0.21557467600395935,0.26721444809709677,21.911465745957344,-0.12178424962668055,0.08436151510734018,0.1977416029874829
Open-order pressure,y_open_order_pressure,XGBoost (S2),4,0.25302296870678326,0.30503046191157707,31.23390153276559,-0.6996702691694661,0.18176843502657222,0.22542407707885587
Open-order pressure,y_open_order_pressure,XGBoost (S2),5,0.1803856149067324,0.21258394465687555,19.296002468410887,0.34892749871467543,0.049415378154637174,0.1564767569465776
Open-order pressure,y_open_order_pressure,LightGBM (S2),1,0.20006215683250927,0.24903715818490912,21.442899249706883,0.12588569137129302,0.02446595341278894,0.16706838898262416
Open-order pressure,y_open_order_pressure,LightGBM (S2),2,0.21344568901030864,0.27309769750038043,20.128419995849704,0.09154878073710726,-0.020702233600467537,0.1628756168646055
Open-order pressure,y_open_order_pressure,LightGBM (S2),3,0.20214876607761056,0.2545114867162942,20.05218005190643,-0.017663600069252494,0.04164345640650955,0.17982042744692806
Open-order pressure,y_open_order_pressure,LightGBM (S2),4,0.2230925685276639,0.2652087538751647,27.86965283491259,-0.2848545382693721,0.15738887866786844,0.1937465954399566
Open-order pressure,y_open_order_pressure,LightGBM (S2),5,0.17979100117133148,0.21212689398994558,19.054281337397946,0.35172407146316187,0.03533830982342648,0.15845711438616283
Open-order pressure,y_open_order_pressure,14-day moving average,1,0.2192961708646612,0.2817864459435293,23.625149384750678,-0.11912893530535063,0.027737354705601267,0.1838466296417246
Open-order pressure,y_open_order_pressure,14-day moving average,2,0.23479206321186508,0.293371373504387,24.237573304592647,-0.0483372151885062,0.015794101959278852,0.1993762975113606
Open-order pressure,y_open_order_pressure,14-day moving average,3,0.19846395342409676,0.2580661120552345,19.96005840456715,-0.046288430311801854,-0.0008853691343498691,0.1695813002124104
Open-order pressure,y_open_order_pressure,14-day moving average,4,0.1876363330683893,0.24197762108222048,22.559080056489893,-0.06961789100568683,0.00969511588564216,0.15775191276449024
Open-order pressure,y_open_order_pressure,14-day moving average,5,0.2180709507459862,0.26955952891610013,23.794281872473807,-0.046833970595951735,-0.006103034723664567,0.1511337856368551
Open-order pressure,y_open_order_pressure,LSTM 28-step (S2),1,0.19717064553102137,0.2442662173467756,21.571550651971314,0.1590566516299209,0.05138727106244645,0.1685512661933899
Open-order pressure,y_open_order_pressure,LSTM 28-step (S2),2,0.2337109587670048,0.2873474902400972,22.938786780794338,-0.005727560394167552,-0.032858357246812575,0.2035929637077527
Open-order pressure,y_open_order_pressure,LSTM 28-step (S2),3,0.19923951849071003,0.2528801385602666,19.85791450767174,-0.004659526546516579,-0.011801562680579308,0.16590390156642149
Open-order pressure,y_open_order_pressure,LSTM 28-step (S2),4,0.21239677922866276,0.25962001787264083,27.35249423237942,-0.23127370248736523,0.11279967433024773,0.17949059842302323
Open-order pressure,y_open_order_pressure,LSTM 28-step (S2),5,0.18932192672136114,0.23652174621344646,19.10260334264762,0.19404539082004424,-0.05868769259213143,0.1626449256866902
Served plus deferred pressure,y_served_plus_deferred_pressure,Random forest (S2),1,0.19592043004630588,0.2443558740101902,20.25305066198776,0.20366030793146805,0.04152387792774545,0.1780122031172251
Served plus deferred pressure,y_served_plus_deferred_pressure,Random forest (S2),2,0.23818507191168473,0.29789490082249837,22.05787363105167,0.1165935902644537,-0.020844617419660025,0.1947824792155327
Served plus deferred pressure,y_served_plus_deferred_pressure,Random forest (S2),3,0.22602639156463242,0.2867050327416192,21.725576933853723,0.16362622104436575,0.013817679247511476,0.20212813895046278
Served plus deferred pressure,y_served_plus_deferred_pressure,Random forest (S2),4,0.22444587479548098,0.27583340487192975,24.87195342344644,-0.19359167678556477,0.13399034202506221,0.18923853190523615
Served plus deferred pressure,y_served_plus_deferred_pressure,Random forest (S2),5,0.21112565946559209,0.25346165205581334,20.26998896307465,0.26130989699037066,0.01575941379291667,0.19524310007555878
Served plus deferred pressure,y_served_plus_deferred_pressure,XGBoost (S2),1,0.18605976987743744,0.2290922043653009,18.43890253858205,0.30003968438175777,0.034023537853798386,0.17124933081288496
Served plus deferred pressure,y_served_plus_deferred_pressure,XGBoost (S2),2,0.26115094921877274,0.3297151879765417,23.59183981637036,-0.08221192031146618,-0.04701745765092266,0.23300576981376203
Served plus deferred pressure,y_served_plus_deferred_pressure,XGBoost (S2),3,0.22134597056760652,0.2985357579283344,21.52853999542972,0.09317707541559117,0.041105250947933825,0.1627579794989692
Served plus deferred pressure,y_served_plus_deferred_pressure,XGBoost (S2),4,0.2592982369254434,0.3162358254898397,28.458801278120372,-0.5688600271530899,0.14873494341640334,0.2779024243354798
Served plus deferred pressure,y_served_plus_deferred_pressure,XGBoost (S2),5,0.2148309071922635,0.2593257012025983,21.193805877385845,0.22673406294230514,0.05491075580059064,0.1799298385779063
Served plus deferred pressure,y_served_plus_deferred_pressure,LightGBM (S2),1,0.21360033962134806,0.25927474973557985,22.005499217369803,0.10345262451412895,0.038944588255169596,0.18401174205401283
Served plus deferred pressure,y_served_plus_deferred_pressure,LightGBM (S2),2,0.24187019573844573,0.3009770305362239,21.475054881361856,0.09821893167772211,-0.036270237585233595,0.20334960714253542
