model,false_negative_to_false_positive_cost_ratio,forecast_alert_cutoff,calibration_days,cost_units,normalized_cost,true_positive_days,false_positive_days,false_negative_days,true_negative_days,precision,recall,f1
Random forest (S2),2.0,0.97,220,117.0,0.5318181818181819,81,117,0,22,0.4090909090909091,1.0,0.5806451612903226
Random forest (S2),2.0,0.98,220,117.0,0.5318181818181819,80,115,1,24,0.41025641025641024,0.9876543209876543,0.5797101449275363
Random forest (S2),2.0,0.99,220,116.0,0.5272727272727272,80,114,1,25,0.41237113402061853,0.9876543209876543,0.5818181818181819
Random forest (S2),2.0,1.0,220,116.0,0.5272727272727272,80,114,1,25,0.41237113402061853,0.9876543209876543,0.5818181818181819
Random forest (S2),2.0,1.01,220,118.0,0.5363636363636364,79,114,2,25,0.40932642487046633,0.9753086419753086,0.5766423357664234
Random forest (S2),2.0,1.02,220,118.0,0.5363636363636364,79,114,2,25,0.40932642487046633,0.9753086419753086,0.5766423357664234
Random forest (S2),2.0,1.03,220,119.0,0.5409090909090909,78,113,3,26,0.4083769633507853,0.9629629629629629,0.5735294117647058
Random forest (S2),2.0,1.04,220,121.0,0.55,77,113,4,26,0.4052631578947368,0.9506172839506173,0.5682656826568265
Random forest (S2),2.0,1.05,220,125.0,0.5681818181818182,75,113,6,26,0.39893617021276595,0.9259259259259259,0.5576208178438662
Random forest (S2),2.0,1.06,220,118.0,0.5363636363636364,75,106,6,33,0.4143646408839779,0.9259259259259259,0.5725190839694656
Random forest (S2),2.0,1.07,220,112.0,0.509090909090909,75,100,6,39,0.42857142857142855,0.9259259259259259,0.5859375
Random forest (S2),2.0,1.08,220,110.0,0.5,75,98,6,41,0.43352601156069365,0.9259259259259259,0.5905511811023622
Random forest (S2),2.0,1.09,220,107.0,0.4863636363636364,73,91,8,48,0.4451219512195122,0.9012345679012346,0.5959183673469388
Random forest (S2),2.0,1.1,220,101.0,0.4590909090909091,73,85,8,54,0.4620253164556962,0.9012345679012346,0.6108786610878661
Random forest (S2),2.0,1.11,220,98.0,0.44545454545454544,70,76,11,63,0.4794520547945205,0.8641975308641975,0.6167400881057269
Random forest (S2),2.0,1.12,220,98.0,0.44545454545454544,67,70,14,69,0.48905109489051096,0.8271604938271605,0.6146788990825688
Random forest (S2),2.0,1.13,220,96.0,0.43636363636363634,66,66,15,73,0.5,0.8148148148148148,0.6197183098591549
Random forest (S2),2.0,1.14,220,99.0,0.45,62,61,19,78,0.5040650406504065,0.7654320987654321,0.6078431372549019
Random forest (S2),2.0,1.15,220,108.0,0.4909090909090909,56,58,25,81,0.49122807017543857,0.691358024691358,0.5743589743589743
