model,precision,recall,threshold,average_precision
Random forest (S2),0.292817679558011,0.9464285714285714,1.0875589960789314,0.34884220045478836
Random forest (S2),0.29444444444444445,0.9464285714285714,1.0879074426619255,0.34884220045478836
Random forest (S2),0.29608938547486036,0.9464285714285714,1.088480678277585,0.34884220045478836
Random forest (S2),0.29775280898876405,0.9464285714285714,1.0887395627666645,0.34884220045478836
Random forest (S2),0.2994350282485876,0.9464285714285714,1.0889213886451377,0.34884220045478836
Random forest (S2),0.29545454545454547,0.9285714285714286,1.089586835248912,0.34884220045478836
Random forest (S2),0.29714285714285715,0.9285714285714286,1.0900313778110715,0.34884220045478836
Random forest (S2),0.2988505747126437,0.9285714285714286,1.0903336351057382,0.34884220045478836
Random forest (S2),0.30057803468208094,0.9285714285714286,1.0908981042302792,0.34884220045478836
Random forest (S2),0.3023255813953488,0.9285714285714286,1.0918588683799073,0.34884220045478836
Random forest (S2),0.2982456140350877,0.9107142857142857,1.0920709669501418,0.34884220045478836
Random forest (S2),0.3,0.9107142857142857,1.0926103169465704,0.34884220045478836
Random forest (S2),0.30177514792899407,0.9107142857142857,1.0963278160874466,0.34884220045478836
Random forest (S2),0.30357142857142855,0.9107142857142857,1.0967911658665168,0.34884220045478836
Random forest (S2),0.30538922155688625,0.9107142857142857,1.0968613961382192,0.34884220045478836
Random forest (S2),0.3072289156626506,0.9107142857142857,1.0980462093165888,0.34884220045478836
Random forest (S2),0.30303030303030304,0.8928571428571429,1.1003923981944148,0.34884220045478836
Random forest (S2),0.3048780487804878,0.8928571428571429,1.1004770113522624,0.34884220045478836
Random forest (S2),0.3067484662576687,0.8928571428571429,1.101320295066102,0.34884220045478836
Random forest (S2),0.30864197530864196,0.8928571428571429,1.1016651076953174,0.34884220045478836
Random forest (S2),0.3105590062111801,0.8928571428571429,1.1031635025929742,0.34884220045478836
Random forest (S2),0.3125,0.8928571428571429,1.1048738989244815,0.34884220045478836
Random forest (S2),0.31446540880503143,0.8928571428571429,1.1056151872578184,0.34884220045478836
Random forest (S2),0.31645569620253167,0.8928571428571429,1.1065595760044,0.34884220045478836
Random forest (S2),0.3184713375796178,0.8928571428571429,1.1072934068066227,0.34884220045478836
Random forest (S2),0.32051282051282054,0.8928571428571429,1.107496985348606,0.34884220045478836
Random forest (S2),0.3161290322580645,0.875,1.1103184009030758,0.34884220045478836
Random forest (S2),0.3181818181818182,0.875,1.1108482643140678,0.34884220045478836
Random forest (S2),0.3202614379084967,0.875,1.1110723074546347,0.34884220045478836
Random forest (S2),0.3223684210526316,0.875,1.1113425456982182,0.34884220045478836
Random forest (S2),0.32450331125827814,0.875,1.113589557965302,0.34884220045478836
Random forest (S2),0.32666666666666666,0.875,1.1140520184712963,0.34884220045478836
Random forest (S2),0.3288590604026846,0.875,1.1145482513222766,0.34884220045478836
Random forest (S2),0.32432432432432434,0.8571428571428571,1.1147559563337757,0.34884220045478836
Random forest (S2),0.32653061224489793,0.8571428571428571,1.1151265342535186,0.34884220045478836
Random forest (S2),0.3287671232876712,0.8571428571428571,1.1170578790135228,0.34884220045478836
Random forest (S2),0.3310344827586207,0.8571428571428571,1.1190031112547076,0.34884220045478836
Random forest (S2),0.3333333333333333,0.8571428571428571,1.121190523054888,0.34884220045478836
Random forest (S2),0.3356643356643357,0.8571428571428571,1.121316009461409,0.34884220045478836
Random forest (S2),0.3380281690140845,0.8571428571428571,1.1229404767688504,0.34884220045478836
Random forest (S2),0.3333333333333333,0.8392857142857143,1.1233890144950136,0.34884220045478836
Random forest (S2),0.3357142857142857,0.8392857142857143,1.123607636793205,0.34884220045478836
Random forest (S2),0.3381294964028777,0.8392857142857143,1.1246264715950194,0.34884220045478836
Random forest (S2),0.3333333333333333,0.8214285714285714,1.124807005798878,0.34884220045478836
Random forest (S2),0.3284671532846715,0.8035714285714286,1.125170613976716,0.34884220045478836
Random forest (S2),0.33088235294117646,0.8035714285714286,1.1253567439646903,0.34884220045478836
Random forest (S2),0.3333333333333333,0.8035714285714286,1.1297103975834006,0.34884220045478836
Random forest (S2),0.3358208955223881,0.8035714285714286,1.1311644069011957,0.34884220045478836
Random forest (S2),0.3383458646616541,0.8035714285714286,1.136306266071957,0.34884220045478836
Random forest (S2),0.3333333333333333,0.7857142857142857,1.1371405051925174,0.34884220045478836
Random forest (S2),0.33587786259541985,0.7857142857142857,1.1373151654036082,0.34884220045478836
Random forest (S2),0.3384615384615385,0.7857142857142857,1.1386949781111302,0.34884220045478836
Random forest (S2),0.34108527131782945,0.7857142857142857,1.1406971957914207,0.34884220045478836
Random forest (S2),0.34375,0.7857142857142857,1.1410151858697883,0.34884220045478836
Random forest (S2),0.33858267716535434,0.7678571428571429,1.141343865585548,0.34884220045478836
Random forest (S2),0.3412698412698413,0.7678571428571429,1.1414319930090309,0.34884220045478836
Random forest (S2),0.344,0.7678571428571429,1.1431391428843327,0.34884220045478836
Random forest (S2),0.3467741935483871,0.7678571428571429,1.1433513723281306,0.34884220045478836
Random forest (S2),0.34146341463414637,0.75,1.1434679832728962,0.34884220045478836
Random forest (S2),0.3442622950819672,0.75,1.1445088051692918,0.34884220045478836
Random forest (S2),0.34710743801652894,0.75,1.1452174883135846,0.34884220045478836
Random forest (S2),0.35,0.75,1.145264600638377,0.34884220045478836
Random forest (S2),0.35294117647058826,0.75,1.145507160600356,0.34884220045478836
Random forest (S2),0.3474576271186441,0.7321428571428571,1.145577281081947,0.34884220045478836
Random forest (S2),0.3504273504273504,0.7321428571428571,1.1460713797773434,0.34884220045478836
Random forest (S2),0.35344827586206895,0.7321428571428571,1.1460822254192151,0.34884220045478836
Random forest (S2),0.3565217391304348,0.7321428571428571,1.148193986582726,0.34884220045478836
Random forest (S2),0.35964912280701755,0.7321428571428571,1.1515958988287438,0.34884220045478836
Random forest (S2),0.36283185840707965,0.7321428571428571,1.151606796419996,0.34884220045478836
Random forest (S2),0.36607142857142855,0.7321428571428571,1.1518280168705286,0.34884220045478836
Random forest (S2),0.36036036036036034,0.7142857142857143,1.1519605807335849,0.34884220045478836
Random forest (S2),0.36363636363636365,0.7142857142857143,1.1524017917735,0.34884220045478836
Random forest (S2),0.3669724770642202,0.7142857142857143,1.1566721018741954,0.34884220045478836
Random forest (S2),0.3611111111111111,0.6964285714285714,1.1577046728429403,0.34884220045478836
Random forest (S2),0.3644859813084112,0.6964285714285714,1.15966940844568,0.34884220045478836
Random forest (S2),0.3584905660377358,0.6785714285714286,1.159769351796656,0.34884220045478836
Random forest (S2),0.3523809523809524,0.6607142857142857,1.1604532762450417,0.34884220045478836
Random forest (S2),0.3557692307692308,0.6607142857142857,1.1614168092234056,0.34884220045478836
Random forest (S2),0.34951456310679613,0.6428571428571429,1.1620623318127885,0.34884220045478836
Random forest (S2),0.3431372549019608,0.625,1.1652084874396365,0.34884220045478836
Random forest (S2),0.33663366336633666,0.6071428571428571,1.1663869560232674,0.34884220045478836
Random forest (S2),0.34,0.6071428571428571,1.1665986572407978,0.34884220045478836
Random forest (S2),0.3333333333333333,0.5892857142857143,1.1677279875497564,0.34884220045478836
Random forest (S2),0.32653061224489793,0.5714285714285714,1.1686038247144923,0.34884220045478836
Random forest (S2),0.31958762886597936,0.5535714285714286,1.1691493653733218,0.34884220045478836
Random forest (S2),0.3229166666666667,0.5535714285714286,1.1697090325634385,0.34884220045478836
Random forest (S2),0.3263157894736842,0.5535714285714286,1.17036815576525,0.34884220045478836
Random forest (S2),0.32978723404255317,0.5535714285714286,1.1703945913393516,0.34884220045478836
Random forest (S2),0.3225806451612903,0.5357142857142857,1.1704997194577451,0.34884220045478836
Random forest (S2),0.31521739130434784,0.5178571428571429,1.170830790470717,0.34884220045478836
Random forest (S2),0.3076923076923077,0.5,1.1708677898641988,0.34884220045478836
Random forest (S2),0.3111111111111111,0.5,1.1709162489232483,0.34884220045478836
Random forest (S2),0.30337078651685395,0.48214285714285715,1.170923500898355,0.34884220045478836
Random forest (S2),0.3068181818181818,0.48214285714285715,1.1730108128927612,0.34884220045478836
Random forest (S2),0.3103448275862069,0.48214285714285715,1.1737249187392975,0.34884220045478836
Random forest (S2),0.313953488372093,0.48214285714285715,1.17441755290883,0.34884220045478836
Random forest (S2),0.3058823529411765,0.4642857142857143,1.1746517245117372,0.34884220045478836
Random forest (S2),0.30952380952380953,0.4642857142857143,1.174866455378607,0.34884220045478836
Random forest (S2),0.3132530120481928,0.4642857142857143,1.1767953060773313,0.34884220045478836
Random forest (S2),0.3170731707317073,0.4642857142857143,1.177445281892257,0.34884220045478836
Random forest (S2),0.32098765432098764,0.4642857142857143,1.1776186233634989,0.34884220045478836
Random forest (S2),0.325,0.4642857142857143,1.1785472221322617,0.34884220045478836
Random forest (S2),0.31645569620253167,0.44642857142857145,1.1789445417067168,0.34884220045478836
Random forest (S2),0.32051282051282054,0.44642857142857145,1.1792682899756215,0.34884220045478836
Random forest (S2),0.3246753246753247,0.44642857142857145,1.1805184606780326,0.34884220045478836
Random forest (S2),0.3157894736842105,0.42857142857142855,1.1808057801788057,0.34884220045478836
Random forest (S2),0.32,0.42857142857142855,1.181872562035562,0.34884220045478836
Random forest (S2),0.3108108108108108,0.4107142857142857,1.1834846961017311,0.34884220045478836
Random forest (S2),0.3150684931506849,0.4107142857142857,1.1846070251579568,0.34884220045478836
Random forest (S2),0.3194444444444444,0.4107142857142857,1.1854933372790253,0.34884220045478836
Random forest (S2),0.323943661971831,0.4107142857142857,1.1859730784967542,0.34884220045478836
Random forest (S2),0.32857142857142857,0.4107142857142857,1.1868522017765335,0.34884220045478836
Random forest (S2),0.3333333333333333,0.4107142857142857,1.1875411160313698,0.34884220045478836
Random forest (S2),0.3235294117647059,0.39285714285714285,1.1877693164274836,0.34884220045478836
Random forest (S2),0.3283582089552239,0.39285714285714285,1.1882409968165766,0.34884220045478836
Random forest (S2),0.3333333333333333,0.39285714285714285,1.190450348990063,0.34884220045478836
Random forest (S2),0.3384615384615385,0.39285714285714285,1.192076477365189,0.34884220045478836
Random forest (S2),0.34375,0.39285714285714285,1.1932269873915886,0.34884220045478836
Random forest (S2),0.3492063492063492,0.39285714285714285,1.1938380837453333,0.34884220045478836
Random forest (S2),0.3387096774193548,0.375,1.1943009909551976,0.34884220045478836
Random forest (S2),0.3442622950819672,0.375,1.1946440717508788,0.34884220045478836
Random forest (S2),0.35,0.375,1.195126404692915,0.34884220045478836
Random forest (S2),0.3559322033898305,0.375,1.195377242680663,0.34884220045478836
Random forest (S2),0.3448275862068966,0.35714285714285715,1.1954446694763754,0.34884220045478836
Random forest (S2),0.3333333333333333,0.3392857142857143,1.1959256368732398,0.34884220045478836
Random forest (S2),0.3392857142857143,0.3392857142857143,1.1971464807654848,0.34884220045478836
Random forest (S2),0.34545454545454546,0.3392857142857143,1.1985260945289784,0.34884220045478836
Random forest (S2),0.35185185185185186,0.3392857142857143,1.199881936172973,0.34884220045478836
Random forest (S2),0.33962264150943394,0.32142857142857145,1.20070464224496,0.34884220045478836
Random forest (S2),0.3269230769230769,0.30357142857142855,1.2012846360342082,0.34884220045478836
Random forest (S2),0.3333333333333333,0.30357142857142855,1.201706452230083,0.34884220045478836
Random forest (S2),0.34,0.30357142857142855,1.2019368989942885,0.34884220045478836
Random forest (S2),0.3469387755102041,0.30357142857142855,1.20254101100334,0.34884220045478836
Random forest (S2),0.3333333333333333,0.2857142857142857,1.2067458089797385,0.34884220045478836
Random forest (S2),0.3191489361702128,0.26785714285714285,1.2072209585874327,0.34884220045478836
Random forest (S2),0.32608695652173914,0.26785714285714285,1.207279983123798,0.34884220045478836
Random forest (S2),0.3333333333333333,0.26785714285714285,1.207623890351733,0.34884220045478836
Random forest (S2),0.3409090909090909,0.26785714285714285,1.207811940907893,0.34884220045478836
Random forest (S2),0.32558139534883723,0.25,1.2081634094172533,0.34884220045478836
Random forest (S2),0.3333333333333333,0.25,1.2081940487832492,0.34884220045478836
Random forest (S2),0.34146341463414637,0.25,1.208299658391505,0.34884220045478836
Random forest (S2),0.35,0.25,1.2088943534135337,0.34884220045478836
Random forest (S2),0.358974358974359,0.25,1.20937998636889,0.34884220045478836
Random forest (S2),0.3684210526315789,0.25,1.2115041369679307,0.34884220045478836
Random forest (S2),0.3783783783783784,0.25,1.2117342836145597,0.34884220045478836
Random forest (S2),0.3611111111111111,0.23214285714285715,1.2129283476304842,0.34884220045478836
Random forest (S2),0.37142857142857144,0.23214285714285715,1.2130796767587433,0.34884220045478836
Random forest (S2),0.35294117647058826,0.21428571428571427,1.2152061848391262,0.34884220045478836
Random forest (S2),0.3333333333333333,0.19642857142857142,1.215356470582173,0.34884220045478836
Random forest (S2),0.3125,0.17857142857142858,1.2155100786560638,0.34884220045478836
Random forest (S2),0.3225806451612903,0.17857142857142858,1.2178207556633418,0.34884220045478836
Random forest (S2),0.3,0.16071428571428573,1.2178549094865925,0.34884220045478836
