model_family,specification,fold,n_features,MAE,RMSE,MAPE,R2,MeanBias,MedianAE
LASSO,S3,5,79,0.18640713083597385,0.23751312964037333,17.303362266770513,0.26218492639457525,-0.04412408825933881,0.14012316026543603
LASSO,S4,1,105,0.21445394436627402,0.27820312344670123,22.95460515031999,-0.25897906023785255,0.06126671892701691,0.1709767985022821
LASSO,S4,2,105,0.29345230585523985,0.3622489448729476,26.17867489062445,-0.4975305864782271,-0.058258219300216886,0.27833829294905776
LASSO,S4,3,105,0.23092398735766906,0.27827256095784403,23.589627439903385,-0.07641766885375412,0.022257352765115535,0.21321821985172829
LASSO,S4,4,105,0.1970131300604054,0.2408856869639479,22.339774613303412,-0.010410152076705925,0.09368797135682803,0.17540317749562
LASSO,S4,5,105,0.18374724267029166,0.23330948079282632,17.294554153652467,0.28807039432019266,-0.0242707535160149,0.13269422107638695
LASSO,S5,1,123,0.20282064116689094,0.2702054542264825,21.93195802745274,-0.18763428393823434,0.06154078908198934,0.1494408762116617
LASSO,S5,2,123,0.2993277756168353,0.3597357817332833,27.68726122039919,-0.4768239225585085,0.0061022051550381285,0.2928208659452026
LASSO,S5,3,123,0.22460988926773,0.27356039704629775,23.13157115605275,-0.04027101735204286,0.026068782220544203,0.20349550192155785
LASSO,S5,4,123,0.1911861570142346,0.24444746335351752,22.0569544120161,-0.04051124864064093,0.12052580998456808,0.16990061540113177
LASSO,S5,5,123,0.1765516282743753,0.22882911605717124,16.185915495747786,0.3151509699034888,-0.055234318395080084,0.14647414389625935
LASSO,S6,1,127,0.2102192974326661,0.27662307532040825,22.463460841653763,-0.2447189862438639,0.05825086921894524,0.16838484133198983
LASSO,S6,2,127,0.29932776916431725,0.3597357728656034,27.68726055480597,-0.47682384974950587,0.00610219872646397,0.29282085463484897
LASSO,S6,3,127,0.2394283729406216,0.29179550602918236,24.599865444930817,-0.1835789868152078,0.030574165237459462,0.2005362598258557
LASSO,S6,4,127,0.19106921924688533,0.24413593823267096,22.00726314155121,-0.03786087263147708,0.11790621236737993,0.17260467076391506
LASSO,S6,5,127,0.1765516282743753,0.22882911605717124,16.185915495747786,0.3151509699034888,-0.055234318395080084,0.14647414389625935
Random forest,S1,1,13,0.1890830254953608,0.23013661514135525,20.01241390959045,0.13847884537737143,0.04637275097360635,0.16528568418781064
Random forest,S1,2,13,0.21332006914293491,0.26444073301753823,19.30364418239357,0.20197196639018,-0.05677285735779911,0.16561798811658102
Random forest,S1,3,13,0.1952893652418626,0.2409577035201496,18.20327461295907,0.1929105340056141,-0.05036275067804181,0.18115630881178024
Random forest,S1,4,13,0.1694137943070075,0.20370373292245625,18.272676204697238,0.27744038416221706,0.04780866956634044,0.16216024335728363
Random forest,S1,5,13,0.1996861144095755,0.24140140046565967,20.40433436448474,0.23783000123151776,0.05479485176349976,0.1970709038365588
Random forest,S2,1,29,0.18383227160973714,0.2231791378628553,19.282382020017863,0.1897823592379133,0.03405118355512083,0.16687756459577668
Random forest,S2,2,29,0.2235373840872618,0.2767336203766439,20.886215413619677,0.12605260396968565,-0.029553925386138137,0.1715829835387136
Random forest,S2,3,29,0.19857937188484256,0.24340280765210404,20.291335274199103,0.1764476417246571,0.036702391337181756,0.16883833073071564
Random forest,S2,4,29,0.19602751414406108,0.2412720852392745,21.810473988298515,-0.013654295610371792,0.09827584883719487,0.1673275209469755
Random forest,S2,5,29,0.1957469939562933,0.23747407258276002,19.395223722205333,0.2624275615409595,0.021636579041274247,0.1904123128047831
Random forest,S3,1,79,0.19689189172600827,0.229941701225984,20.633901209562115,0.13993755589556756,0.042835464665584015,0.18521606906196542
Random forest,S3,2,79,0.22770396518303518,0.27962047043020877,21.457320767732526,0.10772368059968718,-0.020809456246478817,0.17665377878594524
Random forest,S3,3,79,0.20667523066834745,0.24911405872035153,21.35078507223385,0.13734623265486656,0.05380811893181539,0.18738986359089027
Random forest,S3,4,79,0.18821674418977652,0.23126218532581788,21.103918561454105,0.06870995589021778,0.08586112185739753,0.14621309650857717
Random forest,S3,5,79,0.1830410072295482,0.2321189004376845,17.592827323746008,0.29531782139202467,-0.013004860186809209,0.1730984683075587
Random forest,S4,1,105,0.1955953419876441,0.231595923767362,20.66172946795278,0.12751830076304882,0.04403326887339965,0.18118253214466717
Random forest,S4,2,105,0.23071262469258133,0.2812286040592927,21.752818584302336,0.09743097420183999,-0.021271673495209833,0.17629185148523818
Random forest,S4,3,105,0.20028304511057604,0.24210226448445252,20.624381976747827,0.18522489421021004,0.04348748990993202,0.17561360469724574
Random forest,S4,4,105,0.19551659996200899,0.23740623310513773,22.10613388741449,0.018568610431976218,0.10248639311012687,0.15315149263034428
Random forest,S4,5,105,0.18183834812736077,0.23191685335307893,17.56709410782915,0.29654406374325526,-0.008430138111076626,0.17452728017088281
